draw,red1,red2,red3,red4,red5,red6,blue
2025104,2,5,15,16,24,32,16
2025103,13,16,21,25,28,31,16
2025102,4,9,16,17,18,31,7
2025101,5,8,9,10,16,21,5
2025100,12,16,17,25,30,31,16
2025099,9,11,15,17,22,26,14
2025098,5,8,13,17,18,29,2
2025097,3,5,16,23,26,31,14
2025096,7,9,11,12,16,29,15
2025095,15,16,22,23,26,32,4
2025094,11,13,17,19,23,29,16
2025093,9,11,12,24,25,26,10
2025092,2,11,14,17,23,24,12
2025091,3,4,17,19,25,27,14
2025090,6,11,12,21,27,28,15
2025089,4,6,8,18,31,33,5
2025088,1,3,13,18,21,25,6
2025087,2,6,14,15,24,26,8
2025086,2,6,8,10,17,24,6
2025085,11,14,15,18,21,24,13
2025084,6,8,10,14,24,33,15
2025083,10,15,16,17,27,29,12
2025082,4,6,9,14,32,33,11
2025081,3,6,18,20,23,28,5
2025080,3,7,8,10,16,19,5
2025079,8,11,14,15,30,32,5
2025078,6,15,17,30,32,33,14
2025077,4,7,8,15,20,21,15
2025076,2,6,9,12,14,30,8
2025075,10,12,14,19,20,21,15
2025074,3,4,12,20,32,33,13
2025073,2,7,10,27,30,33,11
2025072,2,14,17,25,27,29,5
2025071,1,12,18,23,25,28,7
2025070,2,3,15,21,22,33,6
2025069,2,4,19,23,27,30,5
2025068,5,7,8,19,20,31,7
2025067,1,5,10,17,20,22,5
2025066,6,22,24,27,28,30,4
2025065,6,10,13,14,15,20,11
2025064,2,10,13,22,29,33,16
2025063,2,19,21,22,28,30,1
2025062,6,8,9,13,25,31,14
2025061,6,7,9,10,11,32,9
2025060,6,14,18,25,28,30,1
2025059,4,10,11,12,13,24,1
2025058,2,6,7,9,10,20,6
2025057,4,9,15,16,25,30,14
2025056,1,2,10,14,28,31,3
2025055,2,5,22,27,29,33,12
2025054,5,7,10,21,24,27,16
2025053,6,9,10,13,30,33,7
2025052,6,7,10,17,20,26,9
2025051,1,2,3,4,17,22,1
2025050,9,12,15,18,22,33,16
2025049,3,6,19,27,29,33,11
2025048,16,21,22,23,27,31,10
2025047,1,14,21,22,23,31,12
2025046,2,3,10,16,29,33,1
2025045,2,14,19,24,29,33,13
2025044,2,3,7,8,14,28,11
2025043,3,12,16,19,20,32,13
2025042,7,13,19,23,27,33,12
2025041,6,10,17,19,25,31,6
2025040,2,6,8,9,10,24,11
2025039,8,10,12,15,17,23,11
2025038,6,19,20,23,26,33,9
2025037,3,6,11,20,21,31,2
2025036,5,11,13,16,19,32,7
2025035,1,8,16,18,25,31,1
2025034,5,8,13,14,24,26,12
2025033,3,5,18,25,26,33,8
2025032,3,8,10,14,16,21,3
2025031,1,5,6,8,23,28,1
2025030,4,6,7,30,31,33,6
2025029,5,15,16,25,30,33,16
2025028,4,9,14,15,18,25,15
2025027,5,7,8,15,16,23,6
2025026,9,10,12,14,19,32,7
2025025,12,15,21,23,25,30,2
2025024,10,11,22,27,30,32,15
2025023,9,12,13,24,25,33,7
2025022,11,17,18,20,28,30,10
2025021,7,8,16,18,25,32,14
2025020,4,11,13,16,26,30,15
2025019,5,13,17,18,22,23,11
2025018,3,9,18,21,28,29,11
2025017,4,12,15,18,28,29,5
2025016,2,3,12,16,20,29,14
2025015,4,11,15,24,25,33,15
2025014,6,7,9,13,21,27,5
2025013,4,14,16,23,24,30,14
2025012,7,11,13,18,27,31,11
2025011,6,13,17,22,24,29,11
2025010,4,6,7,16,17,21,8
2025009,2,4,11,12,23,25,6
2025008,9,14,16,17,25,33,11
2025007,7,8,14,18,21,27,11
2025006,1,7,8,17,20,22,6
2025005,10,16,19,27,28,30,9
